geneID	geneSymbol	geneName	Pathway
362048	Tspan5	tetraspanin 5	NA
362049	Unc5c	unc-5 netrin receptor C	path:rno04360 Axon guidance
362051	Lmo4	LIM domain only 4	NA
362053	Clca4	chloride channel accessory 4	path:rno04924 Renin secretion
362056	Spata1	spermatogenesis associated 1	NA
362058	Fam73a	family with sequence similarity 73, member A	NA
362061	Cryz	crystallin, zeta (quinone reductase)	NA
362065	Wls	wntless Wnt ligand secretion mediator	NA
362076	Il36b	interleukin 36, beta	NA
362078	Ehmt1	euchromatic histone-lysine N-methyltransferase 1	path:rno00310 Lysine degradation
362081	Fbxw5	F-box and WD repeat domain containing 5	NA
362083	RGD1560470	similar to Gene model 996	NA
362084	Rabl6	RAB, member RAS oncogene family-like 6	NA
362085	Sohlh1	spermatogenesis and oogenesis specific basic helix-loop-helix 1	NA
362087	Ubac1	UBA domain containing 1	NA
362088	Snapc4	small nuclear RNA activating complex, polypeptide 4	NA
362090	Fam69b	family with sequence similarity 69, member B	NA
362092	Brd3	bromodomain containing 3	NA
362093	Wdr5	WD repeat domain 5	path:rno04934 Cushing's syndrome
362094	Mrps2	mitochondrial ribosomal protein S2	path:rno03010 Ribosome
362095	Gtf3c5	general transcription factor IIIC, polypeptide 5	NA
362096	Setx	senataxin	NA
362098	Gle1	GLE1 RNA export mediator	NA
362100	Endog	endonuclease G	path:rno04210 Apoptosis
362102	Ppp2r4	protein phosphatase 2A activator, regulatory subunit 4	path:rno04931 Insulin resistance
362103	Ntmt1	N-terminal Xaa-Pro-Lys N-methyltransferase 1	NA
362106	Fubp3	far upstream element (FUSE) binding protein 3	NA
362107	Aif1l	allograft inflammatory factor 1-like	NA
362110	Cdk9	cyclin-dependent kinase 9	path:rno05202 Transcriptional misregulation in cancer
362111	Sh2d3c	SH2 domain containing 3C	NA
362112	Tor2a	torsin family 2, member A	NA
362113	Ptrh1	peptidyl-tRNA hydrolase 1 homolog	NA
362115	Fam129b	family with sequence similarity 129, member B	NA
362118	Mvb12b	multivesicular body subunit 12B	path:rno04144 Endocytosis
362119	C5	complement component 5	path:rno04610 Complement and coagulation cascades
362120	RGD1308742	similar to Complement C5 precursor	NA
362122	Morn5	MORN repeat containing 5	NA
362129	Gtdc1	glycosyltransferase-like domain containing 1	NA
362132	Epc2	enhancer of polycomb homolog 2 (Drosophila)	NA
362133	Lypd6b	LY6/PLAUR domain containing 6B	NA
362134	Mmadhc	methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria	NA
362136	Dapl1	death associated protein-like 1	NA
362137	Wdsub1	WD repeat, sterile alpha motif and U-box domain containing 1	NA
362138	Rbms1	RNA binding motif, single stranded interacting protein 1	NA
362142	Bbs5	Bardet-Biedl syndrome 5	NA
362145	Slc25a12	solute carrier family 25 (aspartate/glutamate carrier), member 12	NA
362149	Cir1	corepressor interacting with RBPJ, 1	path:rno04330 Notch signaling pathway
362151	Lnp	limb and neural patterns	NA
362152	Hnrnpa3	heterogeneous nuclear ribonucleoprotein A3	path:rno03040 Spliceosome
362153	Cwc22	CWC22 spliceosome-associated protein	NA
362154	Zc3h15	zinc finger CCCH-type containing 15	NA
362156	Zdhhc5	zinc finger, DHHC-type containing 5	NA
362160	Celf1	CUGBP, Elav-like family member 1	NA
362161	Rapsn	receptor-associated protein of the synapse	NA
362162	Arfgap2	ADP-ribosylation factor GTPase activating protein 2	path:rno04144 Endocytosis
362164	Atg13	autophagy related 13	path:rno04136 Autophagy - other
362165	Creb3l1	cAMP responsive element binding protein 3-like 1	path:rno04022 cGMP-PKG signaling pathway
362166	Phf21a	PHD finger protein 21A	NA
362169	Alkbh3	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase	NA
362170	Api5	apoptosis inhibitor 5	NA
362171	Prr5l	proline rich 5 like	NA
362173	Caprin1	cell cycle associated protein 1	NA
362175	RGD1563222	similar to RIKEN cDNA A930018P22	NA
362176	Lmo2	LIM domain only 2	path:rno05202 Transcriptional misregulation in cancer
362178	Cstf3	cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa	path:rno03015 mRNA surveillance pathway
362182	Rcn1	reticulocalbin 1, EF-hand calcium binding domain	NA
362184	Dnajc24	DnaJ (Hsp40) homolog, subfamily C, member 24	NA
362185	Mpped2	metallophosphoesterase domain containing 2	NA
362186	Kif18a	kinesin family member 18A	NA
362187	Ccdc34	coiled-coil domain containing 34	NA
362188	Slc5a12	solute carrier family 5 (sodium/monocarboxylate cotransporter), member 12	NA
362191	Dph6	diphthamine biosynthesis 6	NA
362194	Bahd1	bromo adjacent homology domain containing 1	NA
362196	Chac1	ChaC glutathione-specific gamma-glutamylcyclotransferase 1	NA
362199	Vps39	vacuolar protein sorting 39 homolog (S. cerevisiae)	NA
362201	Ccndbp1	cyclin D-type binding-protein 1	NA
362202	Epb42	erythrocyte membrane protein band 4.2	NA
362203	Tubgcp4	tubulin, gamma complex associated protein 4	NA
362204	Casc4	cancer susceptibility candidate 4	NA
362205	Shf	Src homology 2 domain containing F	NA
362211	Mall	mal, T-cell differentiation protein-like	NA
362212	Tmem87b	transmembrane protein 87B	NA
362214	Nop56	NOP56 ribonucleoprotein	path:rno03008 Ribosome biogenesis in eukaryotes
362216	Mrps26	mitochondrial ribosomal protein S26	NA
362219	Gpcpd1	glycerophosphocholine phosphodiesterase 1	path:rno00564 Glycerophospholipid metabolism
362220	Lamp5	lysosomal-associated membrane protein family, member 5	NA
362223	Snrpb2	small nuclear ribonucleoprotein polypeptide B''	path:rno03040 Spliceosome
362224	Csrp2bp	CSRP2 binding protein	NA
362226	Sec23b	Sec23 homolog B, COPII coat complex component	path:rno04141 Protein processing in endoplasmic reticulum
362227	Dtd1	D-tyrosyl-tRNA deacylase 1	NA
362228	Naa20	N(alpha)-acetyltransferase 20, NatB catalytic subunit	NA
362229	Xrn2	5'-3' exoribonuclease 2	path:rno03008 Ribosome biogenesis in eukaryotes
362231	Cst9l	cystatin 9-like	NA
362235	Syndig1	synapse differentiation inducing 1	NA
362238	Dusp15	dual specificity phosphatase 15	NA
362240	Nol4l	nucleolar protein 4-like	NA
362242	Snta1	syntrophin, alpha 1	NA
362245	Map1lc3a	microtubule-associated protein 1 light chain 3 alpha	path:rno04216 Ferroptosis
362246	Tp53inp2	tumor protein p53 inducible nuclear protein 2	path:rno04140 Autophagy - animal
362247	Trpc4ap	transient receptor potential cation channel, subfamily C, member 4 associated protein	NA
362248	Procr	protein C receptor, endothelial	path:rno04610 Complement and coagulation cascades
362251	Rbm39	RNA binding motif protein 39	NA
362252	Scand1	SCAN domain-containing 1	NA
362255	Vstm2l	V-set and transmembrane domain containing 2 like	NA
362256	Snhg11	small nucleolar RNA host gene 11	NA
362257	Ralgapb	Ral GTPase activating protein, beta subunit (non-catalytic)	NA
362258	Actr5	ARP5 actin-related protein 5 homolog (yeast)	NA
362260	Dhx35	DEAH (Asp-Glu-Ala-His) box polypeptide 35	NA
362261	Lpin3	lipin 3	path:rno00561 Glycerolipid metabolism
362262	Emilin3	elastin microfibril interfacer 3	NA
362264	Srsf6	serine/arginine-rich splicing factor 6	path:rno03040 Spliceosome
362265	Ift52	intraflagellar transport 52	NA
362267	Svs6	seminal vesicle secretory protein 6	NA
362269	Pcif1	PDX1 C-terminal inhibiting factor 1	NA
362271	Elmo2	engulfment and cell motility 2	path:rno05100 Bacterial invasion of epithelial cells
362272	Tp53rk	TP53 regulating kinase	NA
362273	Cse1l	CSE1 chromosome segregation 1-like (yeast)	NA
362274	Ddx27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	NA
362275	B4galt5	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5	path:rno00512 Mucin type O-glycan biosynthesis
362277	Rnf114	ring finger protein 114	NA
362278	Tmem189	transmembrane protein 189	NA
362279	Pard6b	par-6 family cell polarity regulator beta	path:rno04015 Rap1 signaling pathway
362280	Tfap2c	transcription factor AP-2 gamma	NA
362281	Rae1	ribonucleic acid export 1	path:rno03013 RNA transport
362282	Pck1	phosphoenolpyruvate carboxykinase 1 (soluble)	path:rno00010 Glycolysis / Gluconeogenesis
362283	Stx16	syntaxin 16	path:rno04130 SNARE interactions in vesicular transport
362284	Phactr3	phosphatase and actin regulator 3	NA
362285	Col9a3	collagen, type IX, alpha 3	path:rno04151 PI3K-Akt signaling pathway
362286	Dido1	death inducer-obliterator 1	NA
362288	Rtel1	regulator of telomere elongation helicase 1	NA
362289	Lime1	Lck interacting transmembrane adaptor 1	NA
362291	Myt1	myelin transcription factor 1	NA
362293	Dnajb6	DnaJ (Hsp40) homolog, subfamily B, member 6	NA
362294	Ube3c	ubiquitin protein ligase E3C	path:rno04120 Ubiquitin mediated proteolysis
362295	Lmbr1	limb development membrane protein 1	NA
362297	Rbm33	RNA binding motif protein 33	NA
362298	Actr3b	ARP3 actin-related protein 3 homolog B (yeast)	path:rno04530 Tight junction
362300	Agap3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	path:rno04144 Endocytosis
362301	Tmub1	transmembrane and ubiquitin-like domain containing 1	NA
362302	Abcb8	ATP-binding cassette, subfamily B (MDR/TAP), member 8	path:rno02010 ABC transporters
362303	Klhl7	kelch-like family member 7	NA
362304	Orc5	origin recognition complex, subunit 5	path:rno04110 Cell cycle
362316	Cdk14	cyclin-dependent kinase 14	path:rno05202 Transcriptional misregulation in cancer
362317	Krit1	KRIT1, ankyrin repeat containing	path:rno04015 Rap1 signaling pathway
362319	RGD1306626	similar to RIKEN cDNA 4930500J03	NA
362322	Slc25a13	solute carrier family 25 (aspartate/glutamate carrier), member 13	NA
362323	Sdhaf3	succinate dehydrogenase complex assembly factor 3	NA
362324	Mios	missing oocyte, meiosis regulator, homolog (Drosophila)	path:rno04150 mTOR signaling pathway
362325	Mdfic	MyoD family inhibitor domain containing	NA
362326	Tspan12	tetraspanin 12	NA
362331	Ccdc136	coiled-coil domain containing 136	NA
362332	Flnc	filamin C, gamma	path:rno04010 MAPK signaling pathway
362334	Tmem140	transmembrane protein 140	NA
362335	Nup205	nucleoporin 205	path:rno03013 RNA transport
362336	Fam180a	family with sequence similarity 180, member A	NA
362339	Creb3l2	cAMP responsive element binding protein 3-like 2	path:rno04022 cGMP-PKG signaling pathway
362341	Zc3hav1l	zinc finger CCCH-type, antiviral 1-like	NA
362342	Hipk2	homeodomain interacting protein kinase 2	path:rno04218 Cellular senescence
362343	Parp12	poly (ADP-ribose) polymerase family, member 12	NA
362344	Ndufb2	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2	path:rno00190 Oxidative phosphorylation
362346	Prss37	protease, serine, 37	NA
362353	Tcaf1	TRPM8 channel-associated factor 1	NA
362356	Cul1	cullin 1	path:rno04110 Cell cycle
362358	Krba1	KRAB-A domain containing 1	NA
362359	Mpp6	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)	NA
362360	Osbpl3	oxysterol binding protein-like 3	NA
362361	Hnrnpa2b1	heterogeneous nuclear ribonucleoprotein A2/B1	NA
362364	Tril	TLR4 interactor with leucine-rich repeats	NA
362366	Fkbp14	FK506 binding protein 14	NA
362367	Znrf2	zinc and ring finger 2	NA
362368	Ggct	gamma-glutamyl cyclotransferase	path:rno00480 Glutathione metabolism
362374	Vopp1	vesicular, overexpressed in cancer, prosurvival protein 1	NA
362375	Lancl2	LanC lantibiotic synthetase component C-like 2 (bacterial)	NA
362376	Herc6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	NA
362377	Herc3	HECT and RLD domain containing E3 ubiquitin protein ligase 3	path:rno04120 Ubiquitin mediated proteolysis
362378	Fam13a	family with sequence similarity 13, member A	NA
362383	Rpia	ribose 5-phosphate isomerase A	path:rno00030 Pentose phosphate pathway
362384	Reep1	receptor accessory protein 1	NA
362385	Pole4	polymerase (DNA-directed), epsilon 4, accessory subunit	path:rno00230 Purine metabolism
362388	Mrpl53	mitochondrial ribosomal protein L53	NA
362391	Mxd1	max dimerization protein 1	NA
362392	Snrnp27	small nuclear ribonucleoprotein 27 (U4/U6.U5)	path:rno03040 Spliceosome
362393	Antxr1	anthrax toxin receptor 1	path:rno04621 NOD-like receptor signaling pathway
362394	Isy1	ISY1 splicing factor homolog	path:rno03040 Spliceosome
362398	Plxna1	plexin A1	path:rno04360 Axon guidance
362399	Zxdc	ZXD family zinc finger C	NA
362401	Tmem43	transmembrane protein 43	NA
362402	Fgd5	FYVE, RhoGEF and PH domain containing 5	NA
362404	Suclg2	succinate-CoA ligase, GDP-forming, beta subunit	path:rno00020 Citrate cycle (TCA cycle)
362409	Sumf1	sulfatase modifying factor 1	path:rno04142 Lysosome
362412	Rad18	RAD18 E3 ubiquitin protein ligase	NA
362414	Tada3	transcriptional adaptor 3	path:rno05165 Human papillomavirus infection
362415	Ttll3	tubulin tyrosine ligase-like family, member 3	NA
362416	Rpusd3	RNA pseudouridylate synthase domain containing 3	NA
362417	Il17re	interleukin 17 receptor E	path:rno04060 Cytokine-cytokine receptor interaction
362418	Irak2	interleukin-1 receptor-associated kinase 2	path:rno04722 Neurotrophin signaling pathway
362419	Tamm41	TAM41, mitochondrial translocator assembly and maintenance protein, homolog (S. cerevisiae)	NA
362423	Rassf4	Ras association (RalGDS/AF-6) domain family member 4	path:rno04392 Hippo signaling pathway - multiple species
362424	Tmem72	transmembrane protein 72	NA
362425	Zfp637	zinc finger protein 637	NA
362426	Bms1	BMS1 ribosome biogenesis factor	path:rno03008 Ribosome biogenesis in eukaryotes
362427	Mical3	microtubule associated monooxygenase, calponin and LIM domain containing 3	NA
362428	Rimklb	ribosomal modification protein rimK-like family member B	path:rno00250 Alanine, aspartate and glutamate metabolism
362429	Mfap5	microfibrillar associated protein 5	NA
362430	Clec4a1	C-type lectin domain family 4, member A1	NA
362431	Clec4a3	C-type lectin domain family 4, member A3	NA
362433	RGD1307916	LOC362433	NA
362434	Lpcat3	lysophosphatidylcholine acyltransferase 3	path:rno00564 Glycerophospholipid metabolism
362436	Gpr162	G protein-coupled receptor 162	NA
362437	Iffo1	intermediate filament family orphan 1	NA
362438	Ncapd2	non-SMC condensin I complex, subunit D2	NA
362440	Ndufa9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9	path:rno00190 Oxidative phosphorylation
362441	Itfg2	integrin alpha FG-GAP repeat containing 2	NA
362442	A2ml1	alpha-2-macroglobulin-like 1	NA
362451	RGD1306750	LOC362451	NA
362452	Borcs5	BLOC-1 related complex subunit 5	NA
362453	Crebl2	cAMP responsive element binding protein-like 2	NA
362454	Hebp1	heme binding protein 1	NA
362455	Fam234b	family with sequence similarity 234, member B	NA
362456	Arhgdib	Rho, GDP dissociation inhibitor (GDI) beta	path:rno04722 Neurotrophin signaling pathway
362460	Golt1b	golgi transport 1B	NA
362461	C2cd5	C2 calcium-dependent domain containing 5	NA
362463	Fgfr1op2	FGFR1 oncogene partner 2	NA
362464	Arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	NA
362465	Tmtc1	transmembrane and tetratricopeptide repeat containing 1	NA
362472	Cspp1	centrosome and spindle pole associated protein 1	NA
362474	Adhfe1	alcohol dehydrogenase, iron containing, 1	NA
362479	Tcea1	transcription elongation factor A (SII) 1	NA
362481	Tox	thymocyte selection-associated high mobility group box	NA
362483	MGC94199	"similar to RIKEN cDNA 2610301B20; EST AI428449"	NA
362484	Plekhf2	pleckstrin homology domain containing, family F (with FYVE domain) member 2	NA
362485	Ccne2	cyclin E2	path:rno04110 Cell cycle
362489	Runx1t1	"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)"	path:rno05200 Pathways in cancer
362490	Tmem55a	transmembrane protein 55A	path:rno04070 Phosphatidylinositol signaling system
362491	Ripk2	receptor-interacting serine-threonine kinase 2	path:rno04621 NOD-like receptor signaling pathway
362495	Ndufaf4	NADH dehydrogenase (ubiquinone) complex I, assembly factor 4	path:rno04714 Thermogenesis
362498	Mdn1	midasin homolog (yeast)	path:rno03008 Ribosome biogenesis in eukaryotes
362501	Topors	topoisomerase I binding, arginine/serine-rich, E3 ubiquitin protein ligase	NA
362502	Ubap1	ubiquitin-associated protein 1	NA
362504	Dctn3	dynactin 3	NA
362505	Ccl27	chemokine (C-C motif) ligand 27	path:rno04060 Cytokine-cytokine receptor interaction
362506	Ccl19	chemokine (C-C motif) ligand 19	path:rno04060 Cytokine-cytokine receptor interaction
362510	Melk	maternal embryonic leucine zipper kinase	NA
362511	Fbxo10	F-box protein 10	NA
362513	Shb	Src homology 2 domain containing adaptor protein B	NA
362514	Tstd2	thiosulfate sulfurtransferase (rhodanese)-like domain containing 2	NA
362516	Msantd3	Myb/SANT-like DNA-binding domain containing 3	NA
362517	Mrpl50	mitochondrial ribosomal protein L50	NA
362518	Tmem246	transmembrane protein 246	NA
362519	Smc2	structural maintenance of chromosomes 2	NA
362520	Fktn	fukutin	path:rno00515 Mannose type O-glycan biosynthesis
362521	Tmem38b	transmembrane protein 38B	NA
362522	Zfp462	zinc finger protein 462	NA
362524	Ptpn3	protein tyrosine phosphatase, non-receptor type 3	NA
362528	Fkbp15	FK506 binding protein 15	NA
362533	Tle1	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)	NA
362535	Lurap1l	leucine rich adaptor protein 1-like	NA
362537	Snapc3	small nuclear RNA activating complex, polypeptide 3	NA
362539	Adamtsl1	ADAMTS-like 1	NA
362540	Hacd4	3-hydroxyacyl-CoA dehydratase 4	path:rno00062 Fatty acid elongation
362545	Tm2d1	TM2 domain containing 1	NA
362548	Itgb3bp	integrin beta 3 binding protein (beta3-endonexin)	NA
362549	Efcab7	EF-hand calcium binding domain 7	NA
362551	Raver2	ribonucleoprotein, PTB-binding 2	NA
362553	Tctex1d1	Tctex1 domain containing 1	NA
362556	Ttc4	tetratricopeptide repeat domain 4	NA
362557	Ndc1	NDC1 transmembrane nucleoporin	path:rno03013 RNA transport
362558	Lrp8	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	NA
362559	Zyg11b	zyg-11 family member B, cell cycle regulator	NA
362564	Bend5	BEN domain containing 5	NA
362566	Lrrc41	leucine rich repeat containing 41	NA
362567	Pomgnt1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)	path:rno00515 Mannose type O-glycan biosynthesis
362573	Szt2	seizure threshold 2 homolog (mouse)	NA
362575	Med8	mediator complex subunit 8	NA
362576	RGD1305347	similar to RIKEN cDNA 2610528J11	NA
362578	Svbp	small vasohibin binding protein	NA
362580	Ccdc30	coiled-coil domain containing 30	NA
362581	Scmh1	sex comb on midleg homolog 1 (Drosophila)	NA
362584	Col9a2	collagen, type IX, alpha 2	path:rno04151 PI3K-Akt signaling pathway
362586	Trit1	tRNA isopentenyltransferase 1	path:rno01100 Metabolic pathways
362587	Macf1	microtubule-actin crosslinking factor 1	NA
362590	Inpp5b	inositol polyphosphate-5-phosphatase B	path:rno00562 Inositol phosphate metabolism
362591	Mtf1	metal-regulatory transcription factor 1	NA
362592	RGD1559909	RGD1559909	NA
362593	Gnl2	guanine nucleotide binding protein-like 2 (nucleolar)	path:rno03008 Ribosome biogenesis in eukaryotes
362594	Meaf6	MYST/Esa1-associated factor 6	NA
362595	Oscp1	organic solute carrier partner 1	NA
362597	Eva1b	eva-1 homolog B	NA
362598	Sh3d21	SH3 domain containing 21	NA
362599	Trappc3	trafficking protein particle complex 3	NA
362600	Adprhl2	ADP-ribosylhydrolase like 2	NA
362602	Zmym6	zinc finger, MYM-type 6	NA
362605	Tmem54	transmembrane protein 54	NA
362606	Sync	syncoilin, intermediate filament protein	NA
362607	Kpna6	karyopherin alpha 6 (importin alpha 7)	NA
362608	Tmem39b	transmembrane protein 39b	NA
362609	Pum1	pumilio RNA-binding family member 1	NA
362612	Srsf4	serine/arginine-rich splicing factor 4	path:rno03040 Spliceosome
362613	Zdhhc18	zinc finger, DHHC-type containing 18	NA
362614	Gpn2	GPN-loop GTPase 2	NA
362617	Ahdc1	AT hook, DNA binding motif, containing 1	NA
362618	Fam76a	family with sequence similarity 76, member A	NA
362619	Smpdl3b	sphingomyelin phosphodiesterase, acid-like 3B	NA
362622	Cep85	centrosomal protein 85kDa	NA
362624	Sepn1	selenoprotein N, 1	NA
362625	Man1c1	mannosidase, alpha, class 1C, member 1	path:rno00510 N-Glycan biosynthesis
362626	Rsrp1	arginine/serine-rich protein 1	NA
362627	Rcan3	RCAN family member 3	NA
362628	Ifnlr1	interferon, lambda receptor 1	path:rno04060 Cytokine-cytokine receptor interaction
362630	Srsf10	serine/arginine-rich splicing factor 10	path:rno03040 Spliceosome
362631	Rpl11	ribosomal protein L11	path:rno03010 Ribosome
362634	C1qc	complement component 1, q subcomponent, C chain	path:rno04610 Complement and coagulation cascades
362635	Zbtb40	zinc finger and BTB domain containing 40	NA
362636	Usp48	ubiquitin specific peptidase 48	NA
362642	Pqlc2	PQ loop repeat containing 2	NA
362643	Emc1	ER membrane protein complex subunit 1	NA
362645	Atp13a2	ATPase type 13A2	NA
362646	Fbxo42	F-box protein 42	NA
362648	Arhgef19	Rho guanine nucleotide exchange factor (GEF) 19	NA
362650	Fblim1	filamin binding LIM protein 1	NA
362653	Ctrc	chymotrypsin C (caldecrin)	NA
362657	Mthfr	methylenetetrahydrofolate reductase (NAD(P)H)	path:rno00670 One carbon pool by folate
362662	Rbp7	retinol binding protein 7, cellular	NA
362665	Camta1	calmodulin binding transcription activator 1	NA
362666	Dnajc11	DnaJ (Hsp40) homolog, subfamily C, member 11	NA
362667	Thap3	THAP domain containing, apoptosis associated protein 3	NA
362668	Zbtb48	zinc finger and BTB domain containing 48	NA
362671	RGD1304567	similar to RIKEN cDNA A430005L14	NA
362672	Lrrc47	leucine rich repeat containing 47	NA
362676	Fam213b	family with sequence similarity 213, member B	path:rno00590 Arachidonic acid metabolism
362678	Faap20	Fanconi anemia core complex associated protein 20	NA
362681	Pusl1	pseudouridylate synthase-like 1	NA
362683	Heatr5b	HEAT repeat containing 5B	NA
362685	Gpatch11	G patch domain containing 11	NA
362686	Cebpz	CCAAT/enhancer binding protein zeta	NA
362687	Srsf7	serine/arginine-rich splicing factor 7	path:rno03040 Spliceosome
362688	Gemin6	gem (nuclear organelle) associated protein 6	path:rno03013 RNA transport
362691	Tmem178a	transmembrane protein 178A	NA
362696	Ttc7a	tetratricopeptide repeat domain 7A	NA
362697	Ppp1r21	protein phosphatase 1, regulatory subunit 21	NA
362699	Yipf4	Yip1 domain family, member 4	NA
362700	Spast	spastin	NA
362701	Capn13	calpain 13	NA
362702	Lclat1	lysocardiolipin acyltransferase 1	path:rno00561 Glycerolipid metabolism
362703	Wdr43	WD repeat domain 43	path:rno03008 Ribosome biogenesis in eukaryotes
362704	Bre	brain and reproductive organ-expressed (TNFRSF1A modulator)	path:rno03440 Homologous recombination
362706	Rbks	ribokinase	path:rno00030 Pentose phosphate pathway
362708	Trim54	tripartite motif-containing 54	NA
362711	Tmem214	transmembrane protein 214	NA
362712	Drc1	dynein regulatory complex subunit 1	NA
362713	Seli	selenoprotein I	path:rno00440 Phosphonate and phosphinate metabolism
362715	Dtnb	dystrobrevin, beta	NA
362719	Asap2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	path:rno04144 Endocytosis
362721	Tssc1	tumor suppressing subtransferable candidate 1	NA
362724	Sh3yl1	SH3 and SYLF domain containing 1	NA
362726	Atxn7l4	ataxin 7-like 4	NA
362728	Twistnb	TWIST neighbor	path:rno00230 Purine metabolism
362731	Snx13	sorting nexin 13	NA
362732	Agmo	alkylglycerol monooxygenase	NA
362733	Etv1	ets variant 1	path:rno05202 Transcriptional misregulation in cancer
362734	Stxbp6	syntaxin binding protein 6 (amisyn)	NA
362735	Coch	cochlin	NA
362736	Hectd1	HECT domain containing E3 ubiquitin protein ligase 1	NA
362737	Heatr5a	HEAT repeat containing 5A	NA
362738	Snx6	sorting nexin 6	path:rno04144 Endocytosis
362739	Ppp2r3c	protein phosphatase 2, regulatory subunit B'', gamma	path:rno03015 mRNA surveillance pathway
362740	Mbip	MAP3K12 binding inhibitory protein 1	NA
362741	Pax9	paired box 9	NA
362749	Atp5s	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit s (factor B)	NA
362750	Atl1	atlastin GTPase 1	NA
362751	Tmx1	thioredoxin-related transmembrane protein 1	NA
362754	Trmt5	tRNA methyltransferase 5	NA
362756	Pigh	phosphatidylinositol glycan anchor biosynthesis, class H	path:rno00563 Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
362757	Rdh11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)	path:rno00830 Retinol metabolism
362759	Exd2	exonuclease 3'-5' domain containing 2	NA
362760	Galnt16	polypeptide N-acetylgalactosaminyltransferase 16	path:rno00512 Mucin type O-glycan biosynthesis
362762	Dcaf4	DDB1 and CUL4 associated factor 4	NA
362763	Lin52	lin-52 DREAM MuvB core complex component	path:rno04218 Cellular senescence
362765	Angel1	angel homolog 1 (Drosophila)	NA
362766	Alkbh1	alkB homolog 1, histone H2A dioxygenase	NA
362768	Ttc7b	tetratricopeptide repeat domain 7B	NA
362769	RGD1311756	similar to hypothetical protein FLJ20950	path:rno00471 D-Glutamine and D-glutamate metabolism
362770	Ccdc88c	coiled-coil domain containing 88C	NA
362774	Serpina11	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 11	NA
362776	Glrx5	glutaredoxin 5	NA
362778	Gskip	GSK3B interacting protein	NA
362779	Vrk1	vaccinia related kinase 1	NA
362781	Hhipl1	HHIP-like 1	NA
362782	Cyp46a1	cytochrome P450, family 46, subfamily a, polypeptide 1	path:rno00120 Primary bile acid biosynthesis
362783	Eml1	echinoderm microtubule associated protein like 1	NA
362787	Mok	MOK protein kinase	NA
362788	Traf3	Tnf receptor-associated factor 3	path:rno04064 NF-kappa B signaling pathway
362789	Zfyve21	zinc finger, FYVE domain containing 21	NA
362790	Inf2	inverted formin, FH2 and WH2 domain containing	NA
362791	Siva1	SIVA1, apoptosis-inducing factor	NA
362792	Pld4	phospholipase D family, member 4	path:rno00564 Glycerophospholipid metabolism
362793	RGD1307315	LOC362793	NA
362795	LOC362795	immunoglobulin G heavy chain	NA
362798	Ncapg2	non-SMC condensin II complex, subunit G2	NA
362799	Rapgef5	Rap guanine nucleotide exchange factor (GEF) 5	path:rno04014 Ras signaling pathway
362802	Atp6v1c2	ATPase, H+ transporting, lysosomal V1 subunit C2	path:rno00190 Oxidative phosphorylation
362804	Cwf19l2	CWF19-like 2, cell cycle control (S. pombe)	NA
362809	Ptges3	prostaglandin E synthase 3 (cytosolic)	path:rno00590 Arachidonic acid metabolism
362810	Coq10a	coenzyme Q10A	NA
362811	Ankrd52	ankyrin repeat domain 52	NA
362812	Slc39a5	solute carrier family 39 (zinc transporter), member 5	NA
362813	Nabp2	nucleic acid binding protein 2	NA
362814	Rnf41	ring finger protein 41	path:rno04144 Endocytosis
362817	Cdk2	cyclin dependent kinase 2	path:rno04068 FoxO signaling pathway
362818	Pmel	premelanosome protein	NA
362819	Sarnp	SAP domain containing ribonucleoprotein	NA
362824	Mfsd12	major facilitator superfamily domain containing 12	NA
362825	Hmg20b	high mobility group 20 B	NA
362826	Atcay	ataxia, cerebellar, Cayman type	NA
362827	Pias4	protein inhibitor of activated STAT, 4	path:rno04064 NF-kappa B signaling pathway
362828	Sppl2b	signal peptide peptidase-like 2B	NA
362829	Lsm7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated	path:rno03018 RNA degradation
362831	Dot1l	DOT1-like histone H3K79 methyltransferase	path:rno00310 Lysine degradation
362832	Izumo4	IZUMO family member 4	NA
362833	Mob3a	MOB kinase activator 3A	NA
362834	Mbd3	methyl-CpG binding domain protein 3	NA
362835	Reep6	receptor accessory protein 6	NA
